game_id,local_title,bgg_id,bgg_primary_name,bgg_item_type,proposed_is_expansion,current_url_kind,has_expansion_category,current_is_expansion,confidence,requires_manual_review,reason
72f2a920-b46e-43e6-8640-5ee80fbda542,Alchemicy,161970,Alchemists,boardgame,false,boardgame,false,,medium,true,lokalny tytuł „Alchemicy” nie pokrywa się z pozycją BGG „Alchemists”
411983fa-13d8-4cfa-9c62-99decb56c2df,Andromeda's Edge,358661,Andromeda's Edge,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
ae4c4351-b89b-4cd8-91e6-f525e3067ada,Ark Nova,342942,Ark Nova,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
d489883a-f3a7-4096-aad6-1522acbff7b9,Article 27: The UN Security Council Game,113293,Article 27: The UN Security Council Game,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
4b60f62d-2339-405d-88fa-4803d980487e,Black Mirror: NOSEDIVE,265316,Black Mirror: NOSEDIVE,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
23867ee6-70e6-4653-822d-07db901042ef,Black Rose Wars: Rebirth,342444,Black Rose Wars: Rebirth,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
0cbe9ee8-4def-4a7e-a7b7-a69a9b8cf82b,Black Rose Wars: Rebirth,342444,Black Rose Wars: Rebirth,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
8cae347c-efb1-49f6-89be-fd5f316b2056,Boss Monster: The Dungeon Building Card Game,131835,Boss Monster: The Dungeon Building Card Game,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
2d81e2f1-09ed-4d04-81f3-e761cec37415,Brass: Birmingham,224517,Brass: Birmingham,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
bf76ccfd-26cd-48b3-baab-acf3d8cc92aa,Castles of Mad King Ludwig,155426,Castles of Mad King Ludwig,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
a9de5367-7b56-448c-9f1c-4057758c0a39,Caverna: The Cave Farmers,102794,Caverna: The Cave Farmers,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
138f6a0b-083a-4c6f-a2b2-4f6da8177fdb,Chaos in the Old World,43111,Chaos in the Old World,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
65975ae5-20e6-44fe-9b1b-dc02c7d91ff3,Chronicles of Crime,239188,Chronicles of Crime,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
70458e76-30e4-413a-a265-15a9f476ea88,Chronicles of Crime: 2400,302312,Chronicles of Crime: 2400,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
b560cd2a-38f3-4ccf-9ce7-aad47eeaf318,Chronicles of Crime: Noir,249811,Chronicles of Crime: Noir,boardgameexpansion,true,boardgame,true,,medium,true,"BGG mówi boardgameexpansion, mimo linku /boardgame/"
75cb1f28-6765-4b8f-a9ed-d307524efd33,Clank!: A Deck-Building Adventure,201808,Clank!: A Deck-Building Adventure,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
7ad5c64d-9a74-4b50-adb2-18109a957fac,Cluedo Classic,40083,Cluedo: Chocolate Edition,boardgame,false,boardgame,false,,medium,true,lokalny tytuł „Cluedo Classic” nie pokrywa się z pozycją BGG „Cluedo: Chocolate Edition”
47aabd0a-908f-4add-a578-4b1739f4cfbe,Codenames: Pictures,198773,Codenames: Pictures,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
2a491a6c-a8b5-4e6e-b0a7-86032ee7ce86,Darkest Dungeon: The Board Game,317321,Darkest Dungeon: The Board Game,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
570ad486-2f70-49b1-bca4-271130bc2426,Darkest Dungeon: The Board Game – Musketeer Hero,379863,Darkest Dungeon: The Board Game – Musketeer Hero,boardgameexpansion,true,boardgameexpansion,true,,high,false,BGG jednoznacznie: boardgameexpansion
ee665c7b-dd65-4705-9f99-6561137dcb93,Darkest Dungeon: The Board Game – The Crimson Court,323854,Darkest Dungeon: The Board Game – The Crimson Court,boardgameexpansion,true,boardgameexpansion,false,,high,false,BGG jednoznacznie: boardgameexpansion
d1dcaf87-695f-4e9b-888c-ad679739493b,Dead of Winter: A Crossroads Game,150376,Dead of Winter: A Crossroads Game,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
50337c5b-1c8f-4794-b654-a74b08d1896d,Dead of Winter: The Long Night,193037,Dead of Winter: The Long Night,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
94a7f81b-3536-4998-91cd-f4379021df75,Dead of Winter: Warring Colonies,206094,Dead of Winter: Warring Colonies,boardgameexpansion,true,boardgame,true,,medium,true,"BGG mówi boardgameexpansion, mimo linku /boardgame/"
2b768b60-8e5e-4814-a178-ad0972fbd004,Deep Regrets,397931,Deep Regrets,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
0913abee-cc3a-4663-b94f-fb7f31541407,Descent: Journeys in the Dark (Second Edition),104162,Descent: Journeys in the Dark (Second Edition),boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
6bd48fc6-f11a-4760-8744-28d2ab496d8a,Descent: Journeys in the Dark (Second Edition) – Shadow of Nerekhall,149915,Descent: Journeys in the Dark (Second Edition) – Shadow of Nerekhall,boardgameexpansion,true,boardgameexpansion,true,,high,false,BGG jednoznacznie: boardgameexpansion
313107e6-c7e9-4730-b514-8db30892de27,Detective: A Modern Crime Board Game,223321,Detective: A Modern Crime Board Game,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
1790527a-dc9e-43b8-8933-a0d1c133c1bb,Everdell,199792,Everdell,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
4ec6571c-dc7c-48ca-8c7a-6dcd25b1c133,Exploding Kittens: NSFW Edition,172242,Exploding Kittens: NSFW Edition,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
ac55a1f3-d845-489d-92b6-64206bdfaa1c,Fallout,232918,Fallout,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
9defbd40-48c0-45b4-b3e3-d1c869300532,First Martians: Adventures on the Red Planet,192455,First Martians: Adventures on the Red Planet,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
4576d7eb-71d8-41c2-8d60-a5fc73b84ba2,Frostpunk: The Board Game,311988,Frostpunk: The Board Game,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
f2297a63-4618-4b3f-888a-189ddc3246b0,Gierki Małżeńskie: Znamy się,305587,Gierki Małżeńskie: Znamy się,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
bb95c98f-789e-455e-b530-e654aff7b783,Gloom,12692,Gloom,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
ff38c37a-2989-424d-b8e9-14ebf2a6c070,Gloomhaven: Jaws of the Lion,291457,Gloomhaven: Jaws of the Lion,boardgame,false,boardgame,false,,high,false,BGG jednoznacznie: boardgame
